datetime,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,wind_direction_10m,precipitation,pm25,pm10,no2,source,aqi,risk_category
2025-07-31 00:00:00,26.3,97.0,975.5,7.9,123.0,1.6,50.0,28.5,16.5,openaq_ground,136.7035175879397,Unhealthy (Sensitive Groups)
2025-07-31 01:00:00,26.2,95.0,975.1,9.8,142.0,0.3,48.3,15.3,26.7,openaq_ground,132.5175879396985,Unhealthy (Sensitive Groups)
2025-07-31 02:00:00,25.8,98.0,974.8,6.4,148.0,3.5,43.0,35.8,32.2,openaq_ground,119.46733668341709,Unhealthy (Sensitive Groups)
2025-07-31 03:00:00,25.5,98.0,974.3,6.2,147.0,5.8,23.0,43.5,31.6,openaq_ground,73.92274678111588,Moderate
2025-07-31 04:00:00,25.3,98.0,974.5,6.8,138.0,3.4,38.5,65.3,30.1,openaq_ground,108.38693467336684,Unhealthy (Sensitive Groups)
2025-07-31 05:00:00,25.4,98.0,974.7,5.3,123.0,1.0,85.3,108.0,28.1,openaq_ground,166.38672286617492,Unhealthy
2025-07-31 06:00:00,25.7,97.0,974.9,7.5,132.0,1.4,72.3,119.0,23.5,openaq_ground,159.67439409905163,Unhealthy
2025-07-31 07:00:00,25.4,97.0,975.7,4.9,156.0,8.0,31.0,96.3,16.6,openaq_ground,90.74678111587983,Moderate
2025-07-31 08:00:00,25.7,95.0,975.9,8.4,127.0,2.9,40.0,27.0,16.9,openaq_ground,112.08040201005025,Unhealthy (Sensitive Groups)
2025-07-31 09:00:00,26.4,91.0,976.3,9.9,147.0,0.3,40.7,22.7,18.7,openaq_ground,113.80402010050253,Unhealthy (Sensitive Groups)
2025-07-31 10:00:00,28.0,85.0,976.3,8.7,143.0,0.3,42.0,23.3,16.5,openaq_ground,117.00502512562814,Unhealthy (Sensitive Groups)
2025-07-31 11:00:00,28.9,82.0,975.8,7.8,151.0,0.2,41.5,34.5,18.2,openaq_ground,115.77386934673368,Unhealthy (Sensitive Groups)
2025-07-31 12:00:00,29.7,78.0,974.9,8.5,162.0,0.1,41.0,35.3,25.2,openaq_ground,114.5427135678392,Unhealthy (Sensitive Groups)
2025-07-31 13:00:00,29.9,76.0,974.2,8.5,155.0,0.0,21.0,36.7,28.9,openaq_ground,69.71673819742489,Moderate
2025-07-31 14:00:00,30.4,74.0,973.5,6.4,153.0,0.0,15.0,48.0,20.6,openaq_ground,57.09871244635193,Moderate
