datetime,no2,pm10,pm25,source
2025-07-30 23:30:00,19.2,32.0,,openaq_ground
2025-07-31 00:30:00,16.5,28.5,50.0,openaq_ground
2025-07-31 01:30:00,26.7,15.3,48.3,openaq_ground
2025-07-31 02:30:00,32.2,35.8,43.0,openaq_ground
2025-07-31 03:30:00,31.6,43.5,23.0,openaq_ground
2025-07-31 04:30:00,30.1,65.3,38.5,openaq_ground
2025-07-31 05:30:00,28.1,108.0,85.3,openaq_ground
2025-07-31 06:30:00,23.5,119.0,72.3,openaq_ground
2025-07-31 07:30:00,16.6,96.3,31.0,openaq_ground
2025-07-31 08:30:00,16.9,27.0,40.0,openaq_ground
2025-07-31 09:30:00,18.7,22.7,40.7,openaq_ground
2025-07-31 10:30:00,16.5,23.3,42.0,openaq_ground
2025-07-31 11:30:00,18.2,34.5,,openaq_ground
2025-07-31 12:30:00,25.2,35.3,41.0,openaq_ground
2025-07-31 13:30:00,28.9,36.7,21.0,openaq_ground
2025-07-31 14:30:00,20.6,48.0,15.0,openaq_ground
2025-07-31 15:30:00,22.0,62.0,,openaq_ground
2025-07-31 16:30:00,32.6,82.5,,openaq_ground
2025-07-31 17:30:00,28.4,72.0,,openaq_ground
2025-07-31 18:30:00,22.3,62.0,18.0,openaq_ground
2025-07-31 19:30:00,26.0,73.8,,openaq_ground
2025-07-31 20:30:00,23.5,83.5,42.0,openaq_ground
2025-07-31 21:30:00,17.6,66.8,42.0,openaq_ground
2025-07-31 22:30:00,12.2,92.8,,openaq_ground
2025-07-31 23:30:00,6.4,38.0,,openaq_ground
2025-08-01 02:30:00,,,,openaq_ground
2025-08-01 03:30:00,4.87,76.0,,openaq_ground
2025-08-01 04:30:00,12.2,68.0,,openaq_ground
2025-08-01 05:30:00,17.0,25.0,21.0,openaq_ground
2025-08-01 06:30:00,10.1,96.8,30.0,openaq_ground
2025-08-01 07:30:00,13.9,51.0,24.0,openaq_ground
2025-08-01 15:30:00,21.5,55.5,14.0,openaq_ground
2025-08-01 16:30:00,14.7,60.3,15.0,openaq_ground
2025-08-01 17:30:00,15.4,64.0,23.0,openaq_ground
2025-08-01 18:30:00,16.0,75.0,25.0,openaq_ground
2025-08-01 19:30:00,21.7,70.8,33.0,openaq_ground
2025-08-01 20:30:00,17.0,58.3,28.5,openaq_ground
2025-08-01 21:30:00,16.7,44.0,15.0,openaq_ground
2025-08-01 22:30:00,19.1,53.8,15.8,openaq_ground
2025-08-01 23:30:00,17.8,56.3,16.5,openaq_ground
2025-08-02 00:30:00,18.6,56.0,13.5,openaq_ground
2025-08-02 01:30:00,32.6,65.3,22.0,openaq_ground
2025-08-02 02:30:00,16.5,93.3,31.5,openaq_ground
2025-08-02 03:30:00,12.6,74.0,25.5,openaq_ground
2025-08-02 04:30:00,16.0,98.3,31.0,openaq_ground
2025-08-02 05:30:00,14.2,105.0,34.3,openaq_ground
2025-08-02 06:30:00,14.0,96.3,35.5,openaq_ground
2025-08-02 07:30:00,10.8,90.0,35.3,openaq_ground
2025-08-02 08:30:00,13.9,82.5,30.0,openaq_ground
2025-08-02 09:30:00,13.8,98.8,30.3,openaq_ground
2025-08-02 10:30:00,13.0,103.0,30.3,openaq_ground
2025-08-02 11:30:00,9.98,88.3,27.3,openaq_ground
2025-08-02 12:30:00,17.2,83.0,25.3,openaq_ground
2025-08-02 13:30:00,19.2,86.3,25.8,openaq_ground
2025-08-02 14:30:00,27.8,67.5,24.3,openaq_ground
2025-08-02 15:30:00,22.8,57.5,22.5,openaq_ground
2025-08-02 16:30:00,26.1,41.0,24.0,openaq_ground
2025-08-02 17:30:00,30.6,52.0,23.0,openaq_ground
2025-08-02 18:30:00,30.9,49.0,20.0,openaq_ground
2025-08-02 19:30:00,13.9,44.5,15.5,openaq_ground
2025-08-02 20:30:00,9.7,32.3,11.0,openaq_ground
2025-08-02 21:30:00,14.6,24.8,10.5,openaq_ground
2025-08-02 22:30:00,20.7,22.5,10.0,openaq_ground
2025-08-02 23:30:00,30.9,36.8,14.0,openaq_ground
2025-08-03 00:30:00,30.1,38.8,15.8,openaq_ground
2025-08-03 01:30:00,30.8,44.3,14.3,openaq_ground
2025-08-03 02:30:00,18.0,72.5,22.0,openaq_ground
2025-08-03 03:30:00,9.85,96.8,25.3,openaq_ground
2025-08-03 04:30:00,10.8,86.5,26.5,openaq_ground
2025-08-03 05:30:00,8.83,102.0,29.0,openaq_ground
2025-08-03 06:30:00,13.5,119.0,31.8,openaq_ground
2025-08-03 07:30:00,11.3,118.0,33.8,openaq_ground
2025-08-03 08:30:00,11.6,120.0,36.0,openaq_ground
2025-08-03 09:30:00,9.13,129.0,43.3,openaq_ground
2025-08-03 10:30:00,13.5,142.0,38.0,openaq_ground
2025-08-03 11:30:00,13.9,148.0,37.0,openaq_ground
2025-08-03 12:30:00,13.9,144.0,34.8,openaq_ground
2025-08-03 13:30:00,19.8,146.0,37.0,openaq_ground
2025-08-03 14:30:00,26.5,151.0,36.8,openaq_ground
2025-08-03 15:30:00,25.9,147.0,36.8,openaq_ground
2025-08-03 16:30:00,29.1,134.0,38.3,openaq_ground
2025-08-03 17:30:00,28.6,116.0,36.0,openaq_ground
2025-08-03 18:30:00,27.6,115.0,36.5,openaq_ground
2025-08-03 19:30:00,21.8,115.0,36.0,openaq_ground
2025-08-03 20:30:00,15.8,110.0,33.0,openaq_ground
2025-08-03 21:30:00,15.1,108.0,33.0,openaq_ground
2025-08-03 22:30:00,18.9,102.0,31.8,openaq_ground
2025-08-03 23:30:00,15.6,82.5,28.0,openaq_ground
2025-08-04 00:30:00,13.1,80.5,28.0,openaq_ground
2025-08-04 01:30:00,16.5,88.5,27.3,openaq_ground
2025-08-04 02:30:00,17.3,90.3,24.0,openaq_ground
2025-08-04 03:30:00,15.5,93.5,22.0,openaq_ground
2025-08-04 04:30:00,13.7,98.7,24.0,openaq_ground
2025-08-04 05:30:00,11.9,97.0,23.0,openaq_ground
2025-08-04 06:30:00,16.3,109.0,37.8,openaq_ground
2025-08-04 07:30:00,15.0,116.0,65.5,openaq_ground
2025-08-04 08:30:00,14.2,116.0,43.8,openaq_ground
2025-08-04 09:30:00,18.0,123.0,44.5,openaq_ground
2025-08-04 10:30:00,16.3,122.0,39.8,openaq_ground
2025-08-04 11:30:00,15.7,124.0,39.0,openaq_ground
2025-08-04 12:30:00,14.3,108.0,40.8,openaq_ground
2025-08-04 13:30:00,22.5,104.0,36.3,openaq_ground
2025-08-04 14:30:00,32.5,86.0,31.0,openaq_ground
2025-08-04 15:30:00,29.8,48.5,23.5,openaq_ground
2025-08-04 16:30:00,28.5,57.3,28.3,openaq_ground
2025-08-04 17:30:00,20.1,70.0,29.0,openaq_ground
2025-08-04 18:30:00,34.4,71.5,35.0,openaq_ground
2025-08-04 19:30:00,25.6,78.0,34.3,openaq_ground
2025-08-04 20:30:00,7.45,80.8,27.3,openaq_ground
2025-08-04 21:30:00,19.9,76.8,23.0,openaq_ground
2025-08-04 22:30:00,15.3,66.3,26.0,openaq_ground
2025-08-04 23:30:00,15.9,65.5,25.0,openaq_ground
2025-08-05 00:30:00,18.7,69.8,22.0,openaq_ground
2025-08-05 01:30:00,18.9,71.0,21.8,openaq_ground
2025-08-05 02:30:00,18.5,79.3,22.3,openaq_ground
2025-08-05 03:30:00,16.9,87.5,23.3,openaq_ground
2025-08-05 04:30:00,15.2,95.0,19.3,openaq_ground
2025-08-05 05:30:00,18.8,102.0,29.7,openaq_ground
2025-08-05 06:30:00,12.8,99.3,32.0,openaq_ground
2025-08-05 07:30:00,10.2,88.0,29.0,openaq_ground
2025-08-05 08:30:00,13.9,96.0,35.0,openaq_ground
2025-08-05 09:30:00,13.9,100.0,41.0,openaq_ground
2025-08-05 10:30:00,12.1,101.0,38.3,openaq_ground
2025-08-05 11:30:00,12.2,92.0,33.0,openaq_ground
2025-08-05 12:30:00,21.4,90.3,32.8,openaq_ground
2025-08-05 13:30:00,25.8,88.0,29.5,openaq_ground
2025-08-05 14:30:00,33.7,61.8,22.3,openaq_ground
2025-08-05 15:30:00,35.7,67.8,23.0,openaq_ground
2025-08-05 16:30:00,39.2,76.0,37.0,openaq_ground
2025-08-05 17:30:00,37.7,73.0,37.0,openaq_ground
2025-08-05 18:30:00,33.2,92.5,36.0,openaq_ground
2025-08-05 19:30:00,28.0,77.0,38.0,openaq_ground
2025-08-05 20:30:00,26.3,64.5,28.5,openaq_ground
2025-08-05 21:30:00,27.1,70.8,25.5,openaq_ground
2025-08-05 22:30:00,18.4,66.8,21.3,openaq_ground
2025-08-05 23:30:00,24.9,67.0,23.3,openaq_ground
2025-08-06 00:30:00,19.5,69.3,25.3,openaq_ground
2025-08-06 01:30:00,21.2,66.3,21.0,openaq_ground
2025-08-06 02:30:00,20.6,66.5,23.5,openaq_ground
2025-08-06 03:30:00,16.7,74.0,22.0,openaq_ground
2025-08-06 04:30:00,15.5,86.0,24.5,openaq_ground
2025-08-06 05:30:00,14.7,104.0,34.0,openaq_ground
2025-08-06 06:30:00,14.0,115.0,40.0,openaq_ground
2025-08-06 07:30:00,12.3,125.0,41.5,openaq_ground
2025-08-06 08:30:00,13.9,131.0,45.3,openaq_ground
2025-08-06 09:30:00,13.2,123.0,42.3,openaq_ground
2025-08-06 10:30:00,8.63,123.0,39.5,openaq_ground
2025-08-06 11:30:00,14.9,118.0,35.5,openaq_ground
2025-08-06 12:30:00,16.8,117.0,28.7,openaq_ground
2025-08-06 13:30:00,16.4,112.0,31.0,openaq_ground
2025-08-06 14:30:00,20.8,107.0,33.3,openaq_ground
2025-08-06 15:30:00,20.9,99.7,31.7,openaq_ground
2025-08-06 16:30:00,20.3,96.5,34.0,openaq_ground
2025-08-06 17:30:00,26.1,101.0,37.0,openaq_ground
2025-08-06 18:30:00,34.8,119.0,44.5,openaq_ground
2025-08-06 19:30:00,31.4,113.0,37.5,openaq_ground
2025-08-06 20:30:00,23.4,90.5,32.0,openaq_ground
2025-08-06 21:30:00,20.6,78.5,29.5,openaq_ground
2025-08-06 22:30:00,19.5,70.8,30.0,openaq_ground
2025-08-06 23:30:00,14.0,61.7,24.0,openaq_ground
2025-08-07 00:30:00,13.2,65.3,18.0,openaq_ground
2025-08-07 01:30:00,16.3,75.0,17.8,openaq_ground
2025-08-07 02:30:00,14.4,88.0,18.5,openaq_ground
2025-08-07 03:30:00,13.4,102.0,24.5,openaq_ground
2025-08-07 04:30:00,16.2,111.0,30.3,openaq_ground
2025-08-07 05:30:00,12.4,130.0,34.0,openaq_ground
2025-08-07 06:30:00,14.2,143.0,33.8,openaq_ground
2025-08-07 07:30:00,12.5,159.0,34.3,openaq_ground
2025-08-07 08:30:00,10.8,158.0,38.5,openaq_ground
2025-08-07 09:30:00,11.1,109.0,36.8,openaq_ground
2025-08-07 10:30:00,9.37,115.0,28.0,openaq_ground
2025-08-07 11:30:00,14.9,126.0,29.0,openaq_ground
2025-08-07 12:30:00,12.3,121.0,26.3,openaq_ground
2025-08-07 13:30:00,16.5,105.0,27.0,openaq_ground
2025-08-07 14:30:00,19.8,114.0,27.0,openaq_ground
2025-08-07 15:30:00,33.4,122.0,30.0,openaq_ground
2025-08-07 16:30:00,30.7,119.0,37.3,openaq_ground
2025-08-07 17:30:00,25.5,105.0,32.0,openaq_ground
2025-08-07 18:30:00,23.7,88.0,28.0,openaq_ground
2025-08-07 19:30:00,23.7,82.0,30.0,openaq_ground
2025-08-07 20:30:00,16.8,89.5,26.5,openaq_ground
2025-08-07 21:30:00,15.0,96.0,32.3,openaq_ground
2025-08-07 22:30:00,13.0,82.8,26.3,openaq_ground
2025-08-07 23:30:00,13.5,77.5,21.8,openaq_ground
2025-08-08 00:30:00,9.7,74.3,16.8,openaq_ground
2025-08-08 01:30:00,15.2,78.8,22.3,openaq_ground
2025-08-08 02:30:00,13.4,87.8,24.0,openaq_ground
2025-08-08 03:30:00,13.6,106.0,25.3,openaq_ground
2025-08-08 04:30:00,12.8,117.0,24.3,openaq_ground
2025-08-08 05:30:00,11.5,153.0,34.0,openaq_ground
2025-08-08 06:30:00,13.4,158.0,37.0,openaq_ground
2025-08-08 07:30:00,7.17,156.0,40.7,openaq_ground
2025-08-08 08:30:00,11.4,156.0,43.3,openaq_ground
2025-08-08 09:30:00,13.3,133.0,28.5,openaq_ground
2025-08-08 10:30:00,11.9,126.0,27.0,openaq_ground
2025-08-08 11:30:00,12.7,131.0,27.0,openaq_ground
2025-08-08 12:30:00,13.6,122.0,28.0,openaq_ground
2025-08-08 13:30:00,20.1,117.0,30.3,openaq_ground
2025-08-08 14:30:00,24.9,118.0,27.5,openaq_ground
2025-08-08 15:30:00,30.9,118.0,26.3,openaq_ground
2025-08-08 16:30:00,31.9,113.0,29.0,openaq_ground
2025-08-08 17:30:00,20.0,110.0,35.0,openaq_ground
2025-08-08 18:30:00,12.6,44.0,25.5,openaq_ground
