datetime,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,wind_direction_10m,precipitation
2025-09-24 00:00:00,14.9,94,1010.8,20.7,353,0.3
2025-09-24 01:00:00,14.7,96,1010.4,16.9,7,2.5
2025-09-24 02:00:00,14.9,94,1009.6,18.2,3,0.8
2025-09-24 03:00:00,14.7,94,1008.9,16.9,359,0.1
2025-09-24 04:00:00,14.4,95,1008.1,13.4,18,1.8
2025-09-24 05:00:00,14.2,94,1007.3,16.0,8,2.2
2025-09-24 06:00:00,14.6,94,1007.5,18.1,355,0.1
2025-09-24 07:00:00,15.0,94,1007.6,16.5,6,0.3
2025-09-24 08:00:00,15.0,94,1007.3,17.4,13,1.8
2025-09-24 09:00:00,15.8,92,1006.7,22.5,11,0.9
2025-09-24 10:00:00,15.5,94,1005.7,21.5,14,0.8
2025-09-24 11:00:00,15.6,93,1005.2,19.8,12,2.0
2025-09-24 12:00:00,15.7,93,1003.9,19.3,21,1.8
2025-09-24 13:00:00,16.5,87,1002.7,20.1,44,2.9
2025-09-24 14:00:00,16.6,88,1001.8,24.7,29,0.7
2025-09-24 15:00:00,16.4,87,1001.0,27.3,6,0.1
2025-09-24 16:00:00,16.6,88,1000.5,20.4,349,0.1
2025-09-24 17:00:00,16.3,88,1000.2,18.4,348,0.1
2025-09-24 18:00:00,15.4,90,1000.0,15.3,347,0.2
2025-09-24 19:00:00,14.4,94,1000.7,11.6,4,0.5
2025-09-24 20:00:00,14.4,95,1000.5,9.8,18,0.5
2025-09-24 21:00:00,14.3,96,1000.4,9.7,12,0.2
2025-09-24 22:00:00,14.3,98,1000.0,10.6,359,0.1
2025-09-24 23:00:00,14.2,97,999.3,9.8,346,0.1
2025-09-25 00:00:00,14.1,96,998.7,11.2,312,0.3
2025-09-25 01:00:00,13.7,97,998.9,9.9,312,1.7
2025-09-25 02:00:00,13.4,96,998.3,7.3,253,0.5
2025-09-25 03:00:00,12.7,94,997.8,6.5,226,0.0
2025-09-25 04:00:00,12.4,94,997.6,4.6,225,0.0
2025-09-25 05:00:00,12.2,94,997.5,3.7,223,0.0
2025-09-25 06:00:00,12.2,93,997.8,4.9,231,0.0
2025-09-25 07:00:00,12.4,92,998.3,7.9,223,0.0
2025-09-25 08:00:00,13.2,89,998.3,9.7,209,0.0
2025-09-25 09:00:00,14.4,80,998.3,13.4,223,0.0
2025-09-25 10:00:00,15.4,75,998.3,19.1,234,0.1
2025-09-25 11:00:00,15.9,71,998.1,20.8,242,0.0
2025-09-25 12:00:00,16.3,66,998.1,23.9,246,0.0
2025-09-25 13:00:00,15.7,68,997.6,22.5,258,0.0
2025-09-25 14:00:00,16.0,66,997.6,24.0,255,0.0
2025-09-25 15:00:00,15.3,69,997.7,25.2,258,0.0
2025-09-25 16:00:00,14.7,72,998.1,22.0,272,0.0
2025-09-25 17:00:00,13.4,84,998.5,22.0,275,0.9
2025-09-25 18:00:00,13.7,85,999.3,19.7,255,0.1
2025-09-25 19:00:00,12.7,83,1000.5,17.5,243,0.1
2025-09-25 20:00:00,11.8,82,1001.8,14.5,242,0.0
2025-09-25 21:00:00,11.1,81,1002.7,10.8,244,0.0
